X-Axis,Y-Axis,Z-Axis
-0.548,-0.006,-0.832
-0.548,-0.003,-0.834
-0.549,-0.004,-0.832
-0.549,-0.005,-0.834
-0.551,-0.005,-0.835
-0.549,-0.005,-0.839
-0.557,0.009,-0.831
-0.549,-0.01,-0.83
-0.548,-0.003,-0.836
-0.548,-0.005,-0.834
-0.551,-0.005,-0.836
-0.548,-0.006,-0.833
-0.548,-0.006,-0.832
-0.551,-0.005,-0.833
-0.549,-0.002,-0.833
-0.55,-0.004,-0.834
-0.549,-0.004,-0.833
-0.549,-0.006,-0.833
-0.55,-0.005,-0.834
-0.548,-0.007,-0.831
-0.546,-0.003,-0.83
-0.562,-0.003,-0.839
-0.542,-0.007,-0.836
-0.554,-0.003,-0.832
-0.554,-0.005,-0.829
-0.545,-0.005,-0.832
-0.548,-0.007,-0.836
-0.55,-0.001,-0.835
-0.546,-0.002,-0.835
-0.549,-0.003,-0.831
-0.548,-0.008,-0.834
-0.546,-0.005,-0.831
-0.555,-0.003,-0.834
-0.55,-0.003,-0.832
-0.549,-0.006,-0.835
-0.549,-0.005,-0.831
-0.55,-0.004,-0.835
-0.548,-0.004,-0.833
-0.55,-0.004,-0.834
-0.546,-0.005,-0.833
-0.547,-0.004,-0.833
-0.547,-0.005,-0.835
-0.55,-0.004,-0.835
-0.547,-0.006,-0.831
-0.548,-0.003,-0.833
-0.549,-0.002,-0.836
-0.553,-0.005,-0.833
-0.55,-0.003,-0.83
-0.55,-0.004,-0.831
-0.548,-0.003,-0.832
-0.541,-0.004,-0.835
-0.555,-0.004,-0.836
-0.546,-0.003,-0.833
-0.546,-0.003,-0.83
-0.552,-0.005,-0.833
-0.548,-0.006,-0.833
-0.551,-0.006,-0.835
-0.553,-0.003,-0.834
-0.551,-0.003,-0.831
-0.546,-0.006,-0.835
-0.55,-0.003,-0.837
-0.547,-0.007,-0.837
-0.547,-0.007,-0.835
-0.546,-0.003,-0.833
-0.551,-0.003,-0.835
-0.552,-0.003,-0.836
-0.552,-0.004,-0.837
-0.549,-0.005,-0.835
-0.549,-0.003,-0.834
-0.548,-0.005,-0.835
-0.549,-0.006,-0.837
-0.546,-0.005,-0.835
-0.544,-0.007,-0.837
-0.551,-0.004,-0.835
-0.549,-0.003,-0.834
-0.549,-0.003,-0.834
-0.549,-0.002,-0.833
-0.549,-0.007,-0.833
-0.551,-0.008,-0.836
-0.549,-0.006,-0.837
-0.55,-0.004,-0.836
-0.549,-0.003,-0.833
-0.55,-0.004,-0.835
-0.551,-0.004,-0.835
-0.549,-0.005,-0.834
-0.548,-0.005,-0.832
-0.549,-0.006,-0.835
-0.55,-0.007,-0.834
-0.547,-0.002,-0.834
-0.548,-0.002,-0.834
-0.549,-0.003,-0.835
-0.551,-0.006,-0.835
-0.549,-0.007,-0.835
-0.551,-0.007,-0.834
-0.55,-0.005,-0.836
-0.55,-0.003,-0.838
-0.549,-0.005,-0.835
-0.547,-0.006,-0.835
-0.55,-0.006,-0.838
-0.547,-0.004,-0.835
-0.549,-0.004,-0.835
-0.551,-0.007,-0.835
-0.547,-0.005,-0.834
-0.549,-0.003,-0.837
-0.544,-0.001,-0.83
-0.547,-0.003,-0.834
-0.551,-0.007,-0.834
-0.545,-0.009,-0.832
-0.55,-0.005,-0.835
-0.55,0.001,-0.835
-0.553,-0.001,-0.834
-0.552,-0.001,-0.833
-0.551,-0.01,-0.83
-0.549,-0.01,-0.831
-0.553,-0.008,-0.836
-0.551,-0.002,-0.835
